ipsource,entropy ipdest,entropy portdst,ipdest,portdest,Num de cluster
198.108.67.77,1.5,2.0,"['193.194.76.242', '193.194.76.242', '193.194.76.222', '193.194.76.246']","[81, 9295, 8407, 554]",30
198.108.67.78,2.2516291673878226,2.584962500721156,"['193.194.76.246', '193.194.76.253', '193.194.76.239', '193.194.76.245', '193.194.76.224', '193.194.76.245']","[1500, 3114, 3790, 2626, 1650, 2064]",55
198.108.67.79,1.5,2.0,"['193.194.76.230', '193.194.76.248', '193.194.76.230', '193.194.76.250']","[1024, 8861, 4482, 4002]",30
198.108.67.81,2.321928094887362,1.9219280948873623,"['193.194.76.252', '193.194.76.228', '193.194.76.249', '193.194.76.235', '193.194.76.254']","[3069, 3791, 6262, 9306, 6262]",28
198.108.67.82,2.584962500721156,2.584962500721156,"['193.194.76.236', '193.194.76.229', '193.194.76.227', '193.194.76.246', '193.194.76.254', '193.194.76.242']","[1023, 8085, 99, 8052, 4243, 6464]",24
198.108.67.83,-0.0,1.0,"['193.194.76.250', '193.194.76.250']","[7443, 9876]",11
198.108.67.84,2.0,2.0,"['193.194.76.234', '193.194.76.249', '193.194.76.222', '193.194.76.240']","[7014, 3690, 8733, 3060]",32
198.108.67.85,2.0,2.0,"['193.194.76.230', '193.194.76.245', '193.194.76.224', '193.194.76.240']","[2202, 5060, 9023, 2053]",32
198.108.67.86,1.9219280948873623,2.321928094887362,"['193.194.76.246', '193.194.76.237', '193.194.76.242', '193.194.76.252', '193.194.76.242']","[9251, 8058, 9109, 6003, 4040]",0
198.108.67.87,2.584962500721156,2.584962500721156,"['193.194.76.243', '193.194.76.223', '193.194.76.253', '193.194.76.237', '193.194.76.241', '193.194.76.235']","[5609, 6887, 3792, 8419, 646, 8871]",24
198.108.67.88,1.584962500721156,1.584962500721156,"['193.194.76.249', '193.194.76.227', '193.194.76.228']","[8816, 8788, 8408]",12
198.108.67.89,2.321928094887362,2.321928094887362,"['193.194.76.251', '193.194.76.252', '193.194.76.223', '193.194.76.234', '193.194.76.253']","[8023, 1080, 8866, 2086, 888]",19
198.108.67.90,1.584962500721156,1.584962500721156,"['193.194.76.225', '193.194.76.246', '193.194.76.228']","[9038, 5060, 9299]",12
198.108.67.91,1.584962500721156,1.584962500721156,"['193.194.76.234', '193.194.76.251', '193.194.76.227']","[8809, 3402, 1027]",12
198.108.67.92,2.584962500721156,2.584962500721156,"['193.194.76.225', '193.194.76.238', '193.194.76.233', '193.194.76.254', '193.194.76.226', '193.194.76.224']","[5010, 6007, 3550, 9021, 8238, 6511]",24
198.108.67.93,-0.0,-0.0,['193.194.76.241'],[1290],1
198.108.67.94,2.321928094887362,2.321928094887362,"['193.194.76.230', '193.194.76.224', '193.194.76.242', '193.194.76.247', '193.194.76.252']","[3128, 8830, 2064, 7776, 9119]",19
198.108.67.95,1.584962500721156,1.584962500721156,"['193.194.76.222', '193.194.76.234', '193.194.76.227']","[3498, 3075, 2050]",12
198.108.67.97,-0.0,-0.0,['193.194.76.254'],[5853],1
198.108.67.98,-0.0,-0.0,['193.194.76.246'],[9998],1
