,date,ipsrc,ipdst,protocol,portdst
Apr-29, 2019 18:55:34.063187000,104.237.228.140,193.194.76.246,6,445
Apr-29, 2019 18:55:36.367679000,89.248.174.3,193.194.76.229,6,1311
Apr-29, 2019 18:55:37.647893000,185.176.27.38,193.194.76.232,6,5556
Apr-29, 2019 18:55:39.410831000,185.173.35.21,193.194.76.241,6,5985
Apr-29, 2019 18:55:41.602079000,68.171.157.231,193.194.76.229,6,445
Apr-29, 2019 18:55:42.307416000,216.218.206.125,193.194.76.245,6,8080
Apr-29, 2019 18:55:43.195588000,216.243.31.2,193.194.76.226,6,443
Apr-29, 2019 18:55:43.500538000,193.194.103.77,193.194.76.242,6,8291
Apr-29, 2019 18:55:44.108231000,194.93.59.13,193.194.76.233,6,7789
Apr-29, 2019 18:55:44.504990000,193.194.103.77,193.194.76.237,6,8291
Apr-29, 2019 18:55:45.388370000,89.248.162.168,193.194.76.233,6,9033
Apr-29, 2019 18:55:46.182370000,71.6.147.254,193.194.76.253,6,636
Apr-29, 2019 18:55:47.064130000,89.248.162.168,193.194.76.240,6,9033
Apr-29, 2019 18:55:47.510305000,193.194.103.77,193.194.76.236,6,23
Apr-29, 2019 18:55:49.526421000,201.144.236.22,193.194.76.231,6,445
Apr-29, 2019 18:55:51.257576000,89.248.162.168,193.194.76.235,6,9033
Apr-29, 2019 18:55:52.091207000,81.22.45.251,193.194.76.236,6,5927
Apr-29, 2019 18:55:52.334434000,89.248.174.3,193.194.76.230,6,1311
Apr-29, 2019 18:55:55.626331000,196.52.43.115,193.194.76.231,6,9418
Apr-29, 2019 18:55:56.561470000,198.108.67.84,193.194.76.234,6,7014
Apr-29, 2019 18:55:57.681641000,196.52.43.100,193.194.76.232,6,143
Apr-29, 2019 18:55:59.052584000,188.246.224.47,193.194.76.244,6,3389
Apr-29, 2019 18:55:59.682190000,185.176.27.162,193.194.76.242,6,10474
Apr-29, 2019 18:56:01.312764000,27.56.248.216,193.194.76.238,6,445
Apr-29, 2019 18:56:02.803805000,188.246.224.44,193.194.76.249,6,3397
Apr-29, 2019 18:56:03.761473000,188.246.224.47,193.194.76.227,6,3389
Apr-29, 2019 18:56:04.184252000,81.22.45.251,193.194.76.230,6,5927
Apr-29, 2019 18:56:05.052877000,89.248.162.168,193.194.76.232,6,9033
Apr-29, 2019 18:56:06.133767000,89.248.174.3,193.194.76.237,6,1311
Apr-29, 2019 18:56:07.967214000,35.189.65.39,193.194.76.248,6,23
Apr-29, 2019 18:56:08.486529000,198.108.67.93,193.194.76.241,6,1290
Apr-29, 2019 18:56:08.571525000,188.246.224.44,193.194.76.233,6,3397
Apr-29, 2019 18:56:12.023025000,185.176.27.2,193.194.76.249,6,3333
Apr-29, 2019 18:56:13.597575000,188.246.224.44,193.194.76.238,6,3397
Apr-29, 2019 18:56:14.687233000,188.246.224.44,193.194.76.224,6,3397
Apr-29, 2019 18:56:15.344814000,188.246.224.44,193.194.76.236,6,3397
Apr-29, 2019 18:56:15.739692000,207.91.147.66,193.194.76.235,6,445
Apr-29, 2019 18:56:16.800449000,202.22.153.248,193.194.76.231,6,5431
Apr-29, 2019 18:56:17.137112000,188.246.224.44,193.194.76.246,6,3397
Apr-29, 2019 18:56:18.456162000,89.248.174.3,193.194.76.228,6,1311
Apr-29, 2019 18:56:22.150970000,71.6.143.92,193.194.76.250,6,80
Apr-29, 2019 18:56:22.578178000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 18:56:22.605093000,89.248.174.3,193.194.76.253,6,1311
Apr-29, 2019 18:56:22.900422000,222.137.153.76,193.194.76.252,6,23
