,date,ipsrc,ipdst,protocol,portdst
Apr-29, 2019 19:59:38.126473000,92.118.37.86,193.194.76.239,6,49365
Apr-29, 2019 19:59:40.084593000,80.82.77.33,193.194.76.241,6,19
Apr-29, 2019 19:59:40.483166000,185.176.27.70,193.194.76.249,6,1723
Apr-29, 2019 19:59:41.946975000,185.254.122.17,193.194.76.230,6,39802
Apr-29, 2019 19:59:45.275807000,81.22.45.239,193.194.76.236,6,8839
Apr-29, 2019 19:59:49.698931000,198.108.67.62,193.194.76.224,6,85
Apr-29, 2019 19:59:50.858573000,185.176.27.162,193.194.76.242,6,10138
Apr-29, 2019 19:59:51.390040000,189.195.136.35,193.194.76.242,6,445
Apr-29, 2019 19:59:51.390045000,189.195.136.35,193.194.76.242,6,445
Apr-29, 2019 19:59:51.529142000,185.254.122.17,193.194.76.250,6,39802
Apr-29, 2019 19:59:51.572279000,189.195.136.35,193.194.76.223,6,445
Apr-29, 2019 19:59:51.572290000,189.195.136.35,193.194.76.223,6,445
Apr-29, 2019 19:59:51.608950000,189.195.136.35,193.194.76.254,6,445
Apr-29, 2019 19:59:54.425471000,81.22.45.239,193.194.76.223,6,34554
Apr-29, 2019 19:59:55.869971000,178.73.215.171,193.194.76.227,6,5985
Apr-29, 2019 19:59:55.929215000,81.22.45.239,193.194.76.241,6,34554
Apr-29, 2019 19:59:56.638242000,213.154.18.62,193.194.76.242,6,23
Apr-29, 2019 19:59:57.283066000,81.22.45.239,193.194.76.229,6,8839
Apr-29, 2019 19:59:58.209253000,221.159.215.148,193.194.76.245,6,81
Apr-29, 2019 19:59:58.343080000,71.6.147.254,193.194.76.243,6,12345
Apr-29, 2019 19:59:59.576549000,185.176.27.6,193.194.76.254,6,1717
Apr-29, 2019 19:59:59.640762000,221.181.220.228,193.194.76.236,6,23
Apr-29, 2019 19:59:59.818607000,185.176.27.70,193.194.76.229,6,1723
Apr-29, 2019 20:00:00.883030000,36.249.161.112,193.194.76.222,6,23
Apr-29, 2019 20:00:02.009002000,185.176.26.39,193.194.76.243,6,3323
Apr-29, 2019 20:00:02.622810000,185.176.27.6,193.194.76.248,6,1717
Apr-29, 2019 20:00:02.622814000,185.176.27.6,193.194.76.252,6,1717
Apr-29, 2019 20:00:03.109396000,185.176.27.6,193.194.76.228,6,1717
Apr-29, 2019 20:00:07.156724000,185.176.27.70,193.194.76.232,6,1723
Apr-29, 2019 20:00:07.182035000,120.52.152.16,193.194.76.246,6,3460
Apr-29, 2019 20:00:07.308983000,41.42.248.58,193.194.76.248,6,23
Apr-29, 2019 20:00:12.250456000,185.176.26.39,193.194.76.246,6,3323
Apr-29, 2019 20:00:13.619829000,81.22.45.254,193.194.76.240,6,32500
Apr-29, 2019 20:00:15.678176000,198.108.66.49,193.194.76.226,6,8089
Apr-29, 2019 20:00:15.897843000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:00:16.997872000,188.246.224.47,193.194.76.246,6,3389
Apr-29, 2019 20:00:18.474501000,193.194.103.77,193.194.76.253,6,8291
Apr-29, 2019 20:00:19.347906000,5.226.139.30,193.194.76.238,6,81
Apr-29, 2019 20:00:20.482506000,185.176.26.39,193.194.76.250,6,3323
Apr-29, 2019 20:00:20.588833000,185.176.27.6,193.194.76.225,6,1717
Apr-29, 2019 20:00:20.960162000,185.176.27.26,193.194.76.252,6,6007
Apr-29, 2019 20:00:21.048499000,81.22.45.239,193.194.76.231,6,8839
Apr-29, 2019 20:00:23.134797000,124.78.72.147,193.194.76.246,6,445
Apr-29, 2019 20:00:23.901579000,197.41.79.65,193.194.76.243,6,2323
Apr-29, 2019 20:00:25.598203000,185.176.27.6,193.194.76.227,6,1717
Apr-29, 2019 20:00:27.952394000,185.176.27.162,193.194.76.244,6,10138
Apr-29, 2019 20:00:28.169423000,46.232.112.18,193.194.76.223,6,7027
Apr-29, 2019 20:00:28.493724000,185.176.27.26,193.194.76.233,6,6007
Apr-29, 2019 20:00:28.959616000,185.176.27.70,193.194.76.237,6,1723
Apr-29, 2019 20:00:29.432032000,81.22.45.239,193.194.76.227,6,8839
Apr-29, 2019 20:00:30.050824000,194.28.28.131,193.194.76.246,6,445
Apr-29, 2019 20:00:30.716675000,198.108.67.92,193.194.76.225,6,5010
Apr-29, 2019 20:00:30.955068000,185.176.27.26,193.194.76.238,6,6007
Apr-29, 2019 20:00:31.307536000,185.176.27.26,193.194.76.236,6,6007
Apr-29, 2019 20:00:32.668119000,185.176.27.6,193.194.76.229,6,1717
Apr-29, 2019 20:00:34.450928000,71.6.232.4,193.194.76.237,6,8080
Apr-29, 2019 20:00:37.327401000,115.74.182.106,193.194.76.243,6,23
Apr-29, 2019 20:00:40.705096000,81.22.45.219,193.194.76.241,6,10005
Apr-29, 2019 20:00:41.199714000,185.176.27.6,193.194.76.222,6,1717
Apr-29, 2019 20:00:41.410155000,156.203.196.61,193.194.76.232,6,23
Apr-29, 2019 20:00:42.931919000,185.176.27.70,193.194.76.236,6,1723
Apr-29, 2019 20:00:44.160211000,185.176.27.6,193.194.76.237,6,1717
Apr-29, 2019 20:00:45.179728000,61.131.207.66,193.194.76.241,6,445
Apr-29, 2019 20:00:45.187481000,115.72.129.191,193.194.76.232,6,55555
Apr-29, 2019 20:00:45.493310000,46.232.112.18,193.194.76.237,6,7027
Apr-29, 2019 20:00:46.160183000,80.178.220.162,193.194.76.232,6,23
Apr-29, 2019 20:00:46.821404000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:00:47.838835000,46.232.112.18,193.194.76.225,6,7027
Apr-29, 2019 20:00:50.513466000,185.176.27.162,193.194.76.225,6,10138
Apr-29, 2019 20:00:50.573895000,165.255.58.228,193.194.76.228,6,445
Apr-29, 2019 20:00:50.579320000,165.255.58.228,193.194.76.240,6,445
Apr-29, 2019 20:00:50.580184000,165.255.58.228,193.194.76.234,6,445
Apr-29, 2019 20:00:50.583842000,165.255.58.228,193.194.76.248,6,445
Apr-29, 2019 20:00:51.474685000,165.255.58.228,193.194.76.253,6,445
Apr-29, 2019 20:00:51.607908000,46.232.112.18,193.194.76.236,6,7027
Apr-29, 2019 20:00:52.544942000,193.194.103.77,193.194.76.254,6,7547
Apr-29, 2019 20:00:52.583705000,165.255.58.228,193.194.76.224,6,1433
Apr-29, 2019 20:00:52.590725000,165.255.58.228,193.194.76.249,6,1433
Apr-29, 2019 20:00:52.591307000,165.255.58.228,193.194.76.247,6,1433
Apr-29, 2019 20:00:52.593472000,165.255.58.228,193.194.76.250,6,1433
Apr-29, 2019 20:00:53.486351000,165.255.58.228,193.194.76.253,6,1433
Apr-29, 2019 20:00:53.488999000,165.255.58.228,193.194.76.254,6,445
Apr-29, 2019 20:00:55.149658000,103.249.239.221,193.194.76.235,6,22
Apr-29, 2019 20:00:55.500386000,165.255.58.228,193.194.76.254,6,1433
Apr-29, 2019 20:00:57.178181000,217.8.255.6,193.194.76.232,6,445
Apr-29, 2019 20:01:01.409536000,185.176.27.26,193.194.76.239,6,6007
Apr-29, 2019 20:01:01.438641000,46.232.112.18,193.194.76.228,6,7027
Apr-29, 2019 20:01:01.867534000,185.176.26.39,193.194.76.242,6,3323
Apr-29, 2019 20:01:01.908319000,46.232.112.18,193.194.76.251,6,7027
Apr-29, 2019 20:01:03.790175000,188.246.224.44,193.194.76.222,6,6000
Apr-29, 2019 20:01:05.689990000,196.52.43.103,193.194.76.222,6,2160
Apr-29, 2019 20:01:05.857206000,209.129.244.250,193.194.76.225,6,445
Apr-29, 2019 20:01:06.050279000,185.79.156.157,193.194.76.227,6,445
Apr-29, 2019 20:01:08.865178000,185.254.122.17,193.194.76.228,6,39802
Apr-29, 2019 20:01:11.253041000,46.232.112.18,193.194.76.246,6,7027
Apr-29, 2019 20:01:12.187008000,46.232.112.18,193.194.76.250,6,7027
Apr-29, 2019 20:01:12.190353000,46.232.112.18,193.194.76.241,6,7027
Apr-29, 2019 20:01:13.660332000,156.197.230.157,193.194.76.246,6,2323
Apr-29, 2019 20:01:14.060183000,71.6.232.5,193.194.76.254,6,53
Apr-29, 2019 20:01:15.487317000,193.194.103.77,193.194.76.227,6,23
Apr-29, 2019 20:01:15.507179000,185.216.140.6,193.194.76.225,6,51410
Apr-29, 2019 20:01:16.438956000,220.176.195.137,193.194.76.250,6,445
Apr-29, 2019 20:01:17.262056000,185.176.27.26,193.194.76.231,6,6007
Apr-29, 2019 20:01:18.563698000,193.194.103.77,193.194.76.235,6,23
Apr-29, 2019 20:01:19.244492000,167.99.183.111,193.194.76.232,6,22
Apr-29, 2019 20:01:20.371303000,191.17.222.79,193.194.76.224,6,23
Apr-29, 2019 20:01:21.738341000,182.180.191.98,193.194.76.243,6,445
Apr-29, 2019 20:01:23.215319000,196.52.43.131,193.194.76.245,6,21
Apr-29, 2019 20:01:23.344602000,185.176.27.26,193.194.76.246,6,6007
Apr-29, 2019 20:01:25.725984000,46.232.112.18,193.194.76.247,6,7027
Apr-29, 2019 20:01:27.034508000,185.216.140.6,193.194.76.246,6,51410
Apr-29, 2019 20:01:28.316716000,185.216.140.6,193.194.76.245,6,51410
Apr-29, 2019 20:01:35.024375000,185.176.27.26,193.194.76.250,6,6007
Apr-29, 2019 20:01:35.128493000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:01:36.121980000,181.123.176.247,193.194.76.250,6,23
Apr-29, 2019 20:01:36.551826000,185.254.122.17,193.194.76.233,6,39802
Apr-29, 2019 20:01:36.638983000,114.119.8.243,193.194.76.223,6,445
Apr-29, 2019 20:01:37.180685000,67.21.86.26,193.194.76.225,6,445
Apr-29, 2019 20:01:37.985232000,37.235.230.86,193.194.76.229,6,23
Apr-29, 2019 20:01:39.213542000,185.176.27.26,193.194.76.240,6,6007
Apr-29, 2019 20:01:39.737289000,193.194.103.77,193.194.76.227,6,23
Apr-29, 2019 20:01:39.833074000,185.254.122.17,193.194.76.226,6,39802
Apr-29, 2019 20:01:40.517822000,185.216.140.6,193.194.76.242,6,51410
Apr-29, 2019 20:01:41.692060000,185.176.27.26,193.194.76.235,6,6007
Apr-29, 2019 20:01:41.824722000,223.202.209.67,193.194.76.246,6,23
Apr-29, 2019 20:01:42.229272000,185.176.27.54,193.194.76.231,6,5502
Apr-29, 2019 20:01:42.621089000,61.216.64.116,193.194.76.241,6,23
Apr-29, 2019 20:01:42.732550000,45.55.52.249,193.194.76.251,6,81
Apr-29, 2019 20:01:42.739408000,185.176.27.26,193.194.76.228,6,6007
Apr-29, 2019 20:01:42.740430000,92.118.161.41,193.194.76.254,6,5900
Apr-29, 2019 20:01:42.950481000,185.216.140.6,193.194.76.230,6,51410
Apr-29, 2019 20:01:43.852900000,191.242.232.46,193.194.76.254,6,445
Apr-29, 2019 20:01:44.370499000,92.118.161.61,193.194.76.241,6,5432
Apr-29, 2019 20:01:44.402076000,81.22.45.239,193.194.76.240,6,8839
Apr-29, 2019 20:01:46.265599000,71.6.158.166,193.194.76.244,6,2121
Apr-29, 2019 20:01:47.148855000,185.216.140.6,193.194.76.243,6,51410
Apr-29, 2019 20:01:47.599857000,198.108.67.59,193.194.76.241,6,2569
Apr-29, 2019 20:01:47.697723000,185.176.27.26,193.194.76.243,6,6007
Apr-29, 2019 20:01:47.860955000,81.22.45.239,193.194.76.244,6,8839
Apr-29, 2019 20:01:49.376693000,46.98.33.185,193.194.76.245,6,23
Apr-29, 2019 20:01:49.493537000,51.223.55.57,193.194.76.253,6,445
Apr-29, 2019 20:01:50.533217000,185.176.27.26,193.194.76.251,6,6007
Apr-29, 2019 20:01:51.165048000,165.16.37.177,193.194.76.226,6,80
Apr-29, 2019 20:01:51.975840000,185.176.27.26,193.194.76.222,6,6007
Apr-29, 2019 20:01:52.740175000,185.254.122.17,193.194.76.254,6,39802
Apr-29, 2019 20:01:53.035301000,185.176.27.26,193.194.76.223,6,6007
Apr-29, 2019 20:01:54.438453000,185.176.27.54,193.194.76.226,6,5502
Apr-29, 2019 20:01:54.512433000,172.105.219.236,193.194.76.247,6,119
Apr-29, 2019 20:01:54.639380000,168.90.183.208,193.194.76.223,6,23
Apr-29, 2019 20:01:56.203506000,46.232.112.18,193.194.76.235,6,7027
Apr-29, 2019 20:01:58.534458000,46.232.112.18,193.194.76.245,6,7027
Apr-29, 2019 20:01:59.008164000,183.192.245.222,193.194.76.238,6,23
Apr-29, 2019 20:02:00.443039000,81.22.45.219,193.194.76.244,6,10005
Apr-29, 2019 20:02:00.856496000,196.52.43.95,193.194.76.244,6,5904
Apr-29, 2019 20:02:04.022468000,81.30.69.27,193.194.76.251,6,80
Apr-29, 2019 20:02:04.115959000,198.108.67.45,193.194.76.240,6,3200
Apr-29, 2019 20:02:04.510841000,118.126.105.123,193.194.76.239,6,2323
Apr-29, 2019 20:02:06.258065000,185.176.27.162,193.194.76.233,6,10138
Apr-29, 2019 20:02:06.618022000,81.22.45.239,193.194.76.253,6,8839
Apr-29, 2019 20:02:06.980131000,46.232.112.18,193.194.76.248,6,7027
Apr-29, 2019 20:02:09.515120000,125.212.217.214,193.194.76.241,6,8821
Apr-29, 2019 20:02:11.664842000,193.194.103.77,193.194.76.241,6,7547
Apr-29, 2019 20:02:13.957938000,197.61.23.128,193.194.76.246,6,2323
Apr-29, 2019 20:02:16.483475000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:02:19.169704000,185.176.27.162,193.194.76.236,6,10138
Apr-29, 2019 20:02:22.304727000,112.247.56.193,193.194.76.251,6,23
Apr-29, 2019 20:02:22.905668000,128.199.33.176,193.194.76.243,6,80
Apr-29, 2019 20:02:24.011461000,185.176.27.162,193.194.76.250,6,10138
Apr-29, 2019 20:02:24.373161000,128.14.209.245,193.194.76.234,6,9002
Apr-29, 2019 20:02:25.927659000,125.227.249.79,193.194.76.248,6,445
Apr-29, 2019 20:02:27.103234000,188.166.98.8,193.194.76.230,6,8080
Apr-29, 2019 20:02:27.431692000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:02:29.561576000,185.176.27.54,193.194.76.222,6,5502
Apr-29, 2019 20:02:30.944843000,185.176.27.54,193.194.76.253,6,5502
Apr-29, 2019 20:02:31.097376000,185.176.27.70,193.194.76.242,6,1723
Apr-29, 2019 20:02:31.421046000,185.176.27.70,193.194.76.222,6,1723
Apr-29, 2019 20:02:36.742797000,198.108.67.43,193.194.76.248,6,7887
Apr-29, 2019 20:02:36.820145000,24.122.77.68,193.194.76.232,6,445
Apr-29, 2019 20:02:37.389052000,185.176.27.54,193.194.76.223,6,5502
Apr-29, 2019 20:02:37.990053000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:02:39.992000000,187.56.159.96,193.194.76.223,6,8080
Apr-29, 2019 20:02:41.281382000,103.193.243.85,193.194.76.239,6,445
Apr-29, 2019 20:02:41.762537000,185.176.27.162,193.194.76.222,6,10138
Apr-29, 2019 20:02:42.261422000,122.5.106.150,193.194.76.239,6,445
Apr-29, 2019 20:02:46.918616000,190.145.99.76,193.194.76.240,6,23
Apr-29, 2019 20:02:47.677790000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:02:48.884243000,185.176.27.70,193.194.76.223,6,1723
Apr-29, 2019 20:02:50.268640000,118.170.59.88,193.194.76.251,6,23
Apr-29, 2019 20:02:50.669499000,185.254.122.17,193.194.76.236,6,39802
Apr-29, 2019 20:02:51.601290000,89.248.174.193,193.194.76.233,6,5122
Apr-29, 2019 20:02:52.221564000,196.52.43.126,193.194.76.226,6,44818
Apr-29, 2019 20:02:54.568116000,103.197.46.38,193.194.76.241,6,80
Apr-29, 2019 20:02:56.474931000,89.248.174.193,193.194.76.253,6,5122
Apr-29, 2019 20:02:57.673262000,203.109.106.165,193.194.76.225,6,445
Apr-29, 2019 20:02:59.236573000,191.242.19.231,193.194.76.248,6,445
Apr-29, 2019 20:02:59.398003000,81.22.45.239,193.194.76.252,6,8839
Apr-29, 2019 20:02:59.700596000,173.95.128.74,193.194.76.249,6,23
Apr-29, 2019 20:03:00.210891000,92.118.161.49,193.194.76.253,6,5060
Apr-29, 2019 20:03:01.863813000,122.154.103.70,193.194.76.245,6,445
Apr-29, 2019 20:03:02.477915000,205.155.0.18,193.194.76.233,6,445
Apr-29, 2019 20:03:04.450754000,81.22.45.239,193.194.76.237,6,8839
Apr-29, 2019 20:03:06.004490000,198.108.66.218,193.194.76.242,6,16992
Apr-29, 2019 20:03:07.677461000,185.176.27.162,193.194.76.247,6,10138
Apr-29, 2019 20:03:08.875709000,131.161.121.82,193.194.76.222,6,445
Apr-29, 2019 20:03:10.516088000,185.176.27.70,193.194.76.248,6,1723
Apr-29, 2019 20:03:10.856575000,89.248.174.193,193.194.76.235,6,5122
Apr-29, 2019 20:03:11.216812000,172.245.135.133,193.194.76.235,6,8081
Apr-29, 2019 20:03:13.771753000,101.226.241.218,193.194.76.240,6,445
Apr-29, 2019 20:03:14.516880000,187.116.96.184,193.194.76.228,6,80
Apr-29, 2019 20:03:14.734377000,81.22.45.239,193.194.76.254,6,8839
Apr-29, 2019 20:03:14.755724000,185.176.27.70,193.194.76.247,6,1723
Apr-29, 2019 20:03:14.872881000,46.232.112.18,193.194.76.249,6,7025
Apr-29, 2019 20:03:16.365384000,91.233.240.244,193.194.76.237,6,445
Apr-29, 2019 20:03:16.849459000,219.84.201.39,193.194.76.225,6,445
Apr-29, 2019 20:03:16.972033000,188.246.224.44,193.194.76.242,6,3399
Apr-29, 2019 20:03:17.005650000,185.176.27.70,193.194.76.240,6,1723
Apr-29, 2019 20:03:17.015452000,186.16.209.70,193.194.76.222,6,3389
Apr-29, 2019 20:03:17.325506000,186.16.209.70,193.194.76.222,6,3389
Apr-29, 2019 20:03:17.914336000,94.20.20.240,193.194.76.236,6,445
Apr-29, 2019 20:03:18.822847000,196.52.43.126,193.194.76.228,6,44818
Apr-29, 2019 20:03:18.975641000,172.245.135.133,193.194.76.254,6,8081
Apr-29, 2019 20:03:20.737545000,46.232.112.19,193.194.76.252,6,49000
Apr-29, 2019 20:03:20.967372000,185.176.27.70,193.194.76.250,6,1723
Apr-29, 2019 20:03:21.488708000,139.162.118.251,193.194.76.246,6,6379
Apr-29, 2019 20:03:21.902127000,188.246.224.44,193.194.76.248,6,3399
Apr-29, 2019 20:03:22.280199000,71.6.142.80,193.194.76.244,6,111
Apr-29, 2019 20:03:24.096760000,185.176.27.70,193.194.76.234,6,1723
Apr-29, 2019 20:03:26.251939000,176.32.35.100,193.194.76.238,6,81
Apr-29, 2019 20:03:27.140995000,41.74.177.10,193.194.76.244,6,445
Apr-29, 2019 20:03:28.490012000,89.248.174.193,193.194.76.249,6,5122
Apr-29, 2019 20:03:31.347904000,77.107.41.186,193.194.76.239,6,23
Apr-29, 2019 20:03:33.148534000,205.155.0.18,193.194.76.245,6,445
Apr-29, 2019 20:03:33.597379000,172.245.135.133,193.194.76.234,6,8081
Apr-29, 2019 20:03:34.634152000,178.73.215.171,193.194.76.244,6,5985
Apr-29, 2019 20:03:36.148883000,212.156.40.142,193.194.76.224,6,1433
Apr-29, 2019 20:03:37.531818000,201.95.7.97,193.194.76.253,6,23
Apr-29, 2019 20:03:37.715525000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:03:38.061548000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:03:43.761068000,62.219.10.8,193.194.76.227,6,445
Apr-29, 2019 20:03:43.807435000,62.219.10.8,193.194.76.245,6,445
Apr-29, 2019 20:03:45.586094000,81.22.45.239,193.194.76.224,6,8839
Apr-29, 2019 20:03:46.540718000,185.244.25.213,193.194.76.254,6,992
Apr-29, 2019 20:03:49.261123000,89.248.174.193,193.194.76.224,6,5122
Apr-29, 2019 20:03:49.597591000,185.176.27.162,193.194.76.252,6,10138
Apr-29, 2019 20:03:54.207557000,89.248.174.193,193.194.76.228,6,5122
Apr-29, 2019 20:03:57.589873000,193.194.103.77,193.194.76.246,6,7547
Apr-29, 2019 20:04:00.720455000,81.22.45.239,193.194.76.234,6,8839
Apr-29, 2019 20:04:03.228066000,185.254.122.17,193.194.76.248,6,39802
Apr-29, 2019 20:04:03.577457000,220.73.27.146,193.194.76.246,6,37215
Apr-29, 2019 20:04:03.745219000,87.17.148.254,193.194.76.230,6,23
Apr-29, 2019 20:04:05.850057000,182.180.191.98,193.194.76.245,6,445
Apr-29, 2019 20:04:06.915220000,89.248.174.193,193.194.76.231,6,5122
Apr-29, 2019 20:04:09.802335000,172.245.135.133,193.194.76.246,6,8081
Apr-29, 2019 20:04:10.104328000,89.248.174.193,193.194.76.248,6,5122
Apr-29, 2019 20:04:14.702870000,43.228.205.157,193.194.76.243,6,445
Apr-29, 2019 20:04:15.876680000,197.56.73.52,193.194.76.254,6,23
Apr-29, 2019 20:04:17.202309000,197.43.243.107,193.194.76.244,6,23
Apr-29, 2019 20:04:17.480842000,118.163.45.178,193.194.76.240,6,623
Apr-29, 2019 20:04:17.786583000,37.148.210.72,193.194.76.250,6,23
Apr-29, 2019 20:04:18.291423000,217.8.255.6,193.194.76.253,6,445
Apr-29, 2019 20:04:18.408139000,180.119.105.202,193.194.76.248,6,22
Apr-29, 2019 20:04:19.176222000,185.176.27.2,193.194.76.237,6,33333
Apr-29, 2019 20:04:20.484446000,89.248.174.193,193.194.76.237,6,5122
Apr-29, 2019 20:04:21.828509000,49.250.194.183,193.194.76.243,6,2323
Apr-29, 2019 20:04:22.907632000,172.245.135.133,193.194.76.250,6,8081
Apr-29, 2019 20:04:23.127614000,81.22.45.239,193.194.76.223,6,8839
Apr-29, 2019 20:04:23.774152000,46.17.42.252,193.194.76.225,6,8088
Apr-29, 2019 20:04:24.482960000,89.248.174.193,193.194.76.251,6,5122
Apr-29, 2019 20:04:24.544656000,193.194.103.77,193.194.76.241,6,8291
Apr-29, 2019 20:04:24.610616000,182.242.59.186,193.194.76.227,6,23
Apr-29, 2019 20:04:26.479545000,139.162.123.29,193.194.76.254,6,8000
Apr-29, 2019 20:04:27.452136000,159.65.115.152,193.194.76.226,6,23
Apr-29, 2019 20:04:28.305812000,89.248.174.193,193.194.76.229,6,5122
Apr-29, 2019 20:04:29.085332000,82.99.217.92,193.194.76.230,6,445
Apr-29, 2019 20:04:30.453191000,92.118.161.13,193.194.76.232,6,3000
Apr-29, 2019 20:04:32.798934000,89.248.174.193,193.194.76.230,6,5122
Apr-29, 2019 20:04:33.570411000,193.194.103.77,193.194.76.245,6,23
Apr-29, 2019 20:04:34.351099000,92.118.37.86,193.194.76.238,6,49225
Apr-29, 2019 20:04:37.065640000,89.248.174.193,193.194.76.244,6,5122
Apr-29, 2019 20:04:40.315194000,103.193.243.85,193.194.76.230,6,445
Apr-29, 2019 20:04:41.565926000,85.132.79.110,193.194.76.225,6,445
Apr-29, 2019 20:04:42.597593000,96.125.135.96,193.194.76.253,6,50802
Apr-29, 2019 20:04:49.791402000,96.125.135.96,193.194.76.248,6,50802
Apr-29, 2019 20:04:50.771002000,200.160.113.161,193.194.76.247,6,445
Apr-29, 2019 20:04:51.011877000,139.162.79.111,193.194.76.244,6,8123
Apr-29, 2019 20:04:51.589717000,125.212.217.214,193.194.76.223,6,8248
Apr-29, 2019 20:04:51.875335000,89.248.174.193,193.194.76.252,6,5122
Apr-29, 2019 20:04:52.814743000,107.208.107.95,193.194.76.237,6,80
Apr-29, 2019 20:04:52.816594000,89.248.174.193,193.194.76.243,6,5122
Apr-29, 2019 20:04:54.531978000,193.194.103.77,193.194.76.253,6,7547
Apr-29, 2019 20:04:55.014155000,221.3.34.83,193.194.76.252,6,1433
Apr-29, 2019 20:04:55.397206000,96.125.135.96,193.194.76.235,6,50802
Apr-29, 2019 20:04:55.446477000,89.248.174.193,193.194.76.236,6,5122
Apr-29, 2019 20:04:55.989379000,188.166.3.42,193.194.76.222,6,8080
Apr-29, 2019 20:04:56.586061000,185.176.27.174,193.194.76.234,6,45023
Apr-29, 2019 20:04:56.760256000,39.85.52.34,193.194.76.238,6,23
Apr-29, 2019 20:04:57.688384000,156.198.251.159,193.194.76.247,6,23
Apr-29, 2019 20:04:58.795210000,185.176.27.174,193.194.76.223,6,45023
Apr-29, 2019 20:04:59.179834000,185.176.27.174,193.194.76.243,6,45023
Apr-29, 2019 20:05:02.787397000,185.176.27.174,193.194.76.239,6,45023
Apr-29, 2019 20:05:03.467320000,223.202.209.67,193.194.76.246,6,23
Apr-29, 2019 20:05:04.200314000,164.52.24.164,193.194.76.225,6,22
Apr-29, 2019 20:05:05.307155000,96.125.135.96,193.194.76.249,6,50802
Apr-29, 2019 20:05:05.307732000,96.125.135.96,193.194.76.254,6,50802
Apr-29, 2019 20:05:06.488575000,96.125.135.96,193.194.76.252,6,50802
Apr-29, 2019 20:05:07.008632000,188.246.224.47,193.194.76.224,6,3390
Apr-29, 2019 20:05:07.252139000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 20:05:07.286943000,92.118.37.86,193.194.76.224,6,49225
Apr-29, 2019 20:05:07.476060000,96.125.135.96,193.194.76.236,6,50802
Apr-29, 2019 20:05:08.686417000,96.125.135.96,193.194.76.242,6,50802
Apr-29, 2019 20:05:08.883869000,96.125.135.96,193.194.76.231,6,50802
Apr-29, 2019 20:05:09.998738000,42.230.10.187,193.194.76.253,6,23
Apr-29, 2019 20:05:10.107139000,89.248.174.193,193.194.76.240,6,5122
Apr-29, 2019 20:05:12.457950000,96.125.135.96,193.194.76.227,6,50802
Apr-29, 2019 20:05:13.649430000,185.176.27.162,193.194.76.224,6,10006
Apr-29, 2019 20:05:14.454279000,96.125.135.96,193.194.76.226,6,50802
Apr-29, 2019 20:05:14.869605000,96.125.135.96,193.194.76.222,6,50802
Apr-29, 2019 20:05:15.625174000,185.176.26.27,193.194.76.223,6,3399
Apr-29, 2019 20:05:17.357896000,92.118.37.86,193.194.76.223,6,49225
Apr-29, 2019 20:05:17.383921000,62.219.10.8,193.194.76.249,6,445
Apr-29, 2019 20:05:17.434674000,89.248.174.193,193.194.76.250,6,5122
Apr-29, 2019 20:05:17.873605000,185.176.27.174,193.194.76.240,6,45023
Apr-29, 2019 20:05:18.000254000,87.106.219.57,193.194.76.234,6,445
Apr-29, 2019 20:05:18.668611000,185.176.27.174,193.194.76.241,6,45023
Apr-29, 2019 20:05:21.180762000,185.176.27.174,193.194.76.230,6,45023
Apr-29, 2019 20:05:21.595219000,194.93.59.13,193.194.76.254,6,5489
Apr-29, 2019 20:05:22.231838000,96.125.135.96,193.194.76.250,6,50802
Apr-29, 2019 20:05:23.580697000,223.202.209.67,193.194.76.246,6,23
Apr-29, 2019 20:05:24.949222000,96.125.135.96,193.194.76.240,6,50802
Apr-29, 2019 20:05:26.645716000,185.176.27.174,193.194.76.222,6,45023
Apr-29, 2019 20:05:27.324635000,185.176.27.174,193.194.76.229,6,45023
Apr-29, 2019 20:05:29.528497000,96.125.135.96,193.194.76.228,6,50802
Apr-29, 2019 20:05:30.210925000,89.248.174.193,193.194.76.241,6,5122
Apr-29, 2019 20:05:30.323095000,96.125.135.96,193.194.76.247,6,50802
Apr-29, 2019 20:05:32.534859000,193.194.103.77,193.194.76.248,6,23
Apr-29, 2019 20:05:32.775136000,185.173.35.29,193.194.76.229,6,5432
Apr-29, 2019 20:05:33.111530000,139.162.121.165,193.194.76.248,6,8080
Apr-29, 2019 20:05:33.334246000,96.125.135.96,193.194.76.243,6,50802
Apr-29, 2019 20:05:33.727680000,185.176.27.2,193.194.76.227,6,33333
Apr-29, 2019 20:05:34.809338000,189.163.210.120,193.194.76.231,6,80
Apr-29, 2019 20:05:35.820737000,205.155.0.18,193.194.76.226,6,445
Apr-29, 2019 20:05:37.707259000,102.165.35.143,193.194.76.233,6,1900
Apr-29, 2019 20:05:38.401533000,185.176.27.174,193.194.76.237,6,45023
