ipsource,entropy ipdest,entropy portdst,ipdest,portdest
1.160.89.196,-0.0,-0.0,['193.194.76.253'],[23]
1.162.220.190,-0.0,-0.0,"['193.194.76.235', '193.194.76.235']","[23, 23]"
1.164.6.48,-0.0,-0.0,['193.194.76.250'],[23]
1.165.146.196,-0.0,-0.0,['193.194.76.235'],[23]
1.165.220.119,1.0,-0.0,"['193.194.76.245', '193.194.76.231']","[23, 23]"
1.169.10.141,-0.0,-0.0,['193.194.76.222'],[445]
1.171.38.173,-0.0,-0.0,['193.194.76.225'],[2323]
1.173.228.23,-0.0,-0.0,['193.194.76.233'],[23]
1.175.141.106,-0.0,-0.0,['193.194.76.242'],[23]
1.175.175.78,-0.0,-0.0,['193.194.76.236'],[5555]
1.186.98.236,1.0,-0.0,"['193.194.76.248', '193.194.76.226']","[23, 23]"
1.20.246.109,-0.0,-0.0,['193.194.76.234'],[3389]
1.23.70.155,-0.0,-0.0,['193.194.76.252'],[5555]
1.232.77.181,-0.0,-0.0,['193.194.76.226'],[22]
1.30.218.5,1.584962500721156,0.9182958340544896,"['193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.237', '193.194.76.227', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247', '193.194.76.227', '193.194.76.237', '193.194.76.247']","[65533, 65533, 65533, 1433, 1433, 1433, 65533, 65533, 65533, 65533, 65533, 65533, 1433, 1433, 1433, 65533, 65533, 65533, 65533, 65533, 65533, 1433, 1433, 1433, 65533, 65533, 65533, 65533, 65533, 65533, 1433, 1433, 1433, 65533, 65533, 65533]"
1.32.249.142,-0.0,-0.0,['193.194.76.248'],[445]
1.34.44.241,-0.0,-0.0,['193.194.76.239'],[8080]
1.52.230.57,-0.0,-0.0,['193.194.76.225'],[23]
1.53.41.207,-0.0,-0.0,['193.194.76.245'],[23]
1.55.141.183,-0.0,-0.0,['193.194.76.253'],[23]
1.55.167.179,-0.0,-0.0,"['193.194.76.245', '193.194.76.245', '193.194.76.245']","[23, 23, 23]"
1.55.226.242,-0.0,-0.0,['193.194.76.247'],[23]
1.56.201.127,-0.0,-0.0,['193.194.76.249'],[23]
1.6.16.81,1.0,-0.0,"['193.194.76.223', '193.194.76.226']","[23, 23]"
1.64.10.214,-0.0,-0.0,['193.194.76.225'],[5555]
1.64.205.39,-0.0,-0.0,['193.194.76.248'],[5555]
1.64.211.8,-0.0,-0.0,['193.194.76.248'],[5555]
1.64.88.64,-0.0,-0.0,['193.194.76.225'],[5555]
1.65.155.8,-0.0,-0.0,['193.194.76.248'],[23]
1.69.109.122,-0.0,-0.0,['193.194.76.244'],[23]
1.70.131.162,-0.0,-0.0,['193.194.76.244'],[9000]
101.108.129.121,-0.0,-0.0,"['193.194.76.236', '193.194.76.236', '193.194.76.236', '193.194.76.236']","[23, 23, 23, 23]"
101.109.172.104,-0.0,-0.0,['193.194.76.242'],[445]
101.21.126.108,-0.0,-0.0,['193.194.76.231'],[23]
101.226.175.133,5.044394119358454,-0.0,"['193.194.76.228', '193.194.76.247', '193.194.76.244', '193.194.76.237', '193.194.76.224', '193.194.76.223', '193.194.76.232', '193.194.76.227', '193.194.76.233', '193.194.76.251', '193.194.76.246', '193.194.76.240', '193.194.76.245', '193.194.76.243', '193.194.76.226', '193.194.76.229', '193.194.76.235', '193.194.76.253', '193.194.76.241', '193.194.76.242', '193.194.76.254', '193.194.76.250', '193.194.76.249', '193.194.76.222', '193.194.76.238', '193.194.76.225', '193.194.76.248', '193.194.76.252', '193.194.76.231', '193.194.76.234', '193.194.76.236', '193.194.76.230', '193.194.76.239']","[445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445]"
101.226.241.218,2.321928094887362,-0.0,"['193.194.76.236', '193.194.76.229', '193.194.76.235', '193.194.76.240', '193.194.76.251']","[445, 445, 445, 445, 445]"
101.236.50.60,-0.0,-0.0,['193.194.76.254'],[6380]
101.51.120.243,-0.0,-0.0,['193.194.76.251'],[8080]
101.64.77.86,-0.0,-0.0,['193.194.76.237'],[22]
101.80.193.226,-0.0,-0.0,"['193.194.76.234', '193.194.76.234', '193.194.76.234']","[445, 445, 445]"
101.95.162.58,1.0,-0.0,"['193.194.76.222', '193.194.76.240']","[445, 445]"
102.165.124.113,-0.0,-0.0,['193.194.76.239'],[23]
